zone,hour,orders_per_hour,active_riders,congestion_index,avg_delivery_time,platform_status,order_drop_percentage,oversupply_ratio,peak_hour_flag,activity_disruption_probability
Indiranagar,0,52.2,43,0.32840435290631464,34.49227500681923,1,0.13,0.8082706766917293,0,0.13164643897787592
Whitefield,0,37.800000000000004,25,0.521474224376107,23.342715278475545,1,0.3699999999999999,0.6443298969072164,0,0.43157192456165333
Electronic City,0,53.1,38,0.655621931064197,16.410289475677505,1,0.11499999999999999,0.7024029574861368,0,0.253062727956338
HSR Layout,0,18.900000000000002,35,0.6322370567394016,30.291329012207022,1,0.6849999999999999,1.758793969849246,0,0.5871633061191591
Koramangala,0,39.6,41,0.6282970263056656,18.487346516301045,1,0.33999999999999997,1.0098522167487685,0,0.31741255288080333
Indiranagar,1,19.8,51,0.6252813963310069,19.263103092182288,1,0.6699999999999999,2.4519230769230766,0,0.5602680172763598
Whitefield,1,52.2,32,0.8642198760773332,39.14080082686398,1,0.13,0.6015037593984962,0,0.2514565959933791
Electronic City,1,18.900000000000002,34,0.3687178262182082,32.081587970636456,1,0.6849999999999999,1.708542713567839,0,0.5717441157599601
HSR Layout,1,0.0,49,0.8365242814551475,21.469499540000424,0,1.0,49.0,0,1.0
Koramangala,1,22.5,18,0.32939811886786896,39.239615694113965,1,0.625,0.7659574468085106,0,0.4655590242254999
Indiranagar,2,40.5,48,0.4766051652012701,38.166471644844854,1,0.32499999999999996,1.1566265060240963,0,0.29259724620155897
Whitefield,2,29.7,37,0.5645839820180766,39.02930060873373,1,0.505,1.205211726384365,0,0.5000323932571763
Electronic City,2,36.0,30,0.7231240770961667,28.492303309726992,1,0.4,0.8108108108108109,0,0.4152331979942328
HSR Layout,2,0.0,29,0.31568685734410173,15.390910168529848,0,1.0,29.0,0,1.0
Koramangala,2,25.2,38,0.4764170627228988,22.337204367950953,1,0.5800000000000001,1.450381679389313,0,0.5236777725322443
Indiranagar,3,21.6,53,0.6557539178513612,37.87399188859452,1,0.6399999999999999,2.3451327433628317,0,0.6484668826675086
Whitefield,3,25.2,22,0.5146154718967424,17.385252912260285,1,0.5800000000000001,0.8396946564885497,0,0.5073447133583473
Electronic City,3,50.4,49,0.613908451395409,21.868044824751603,1,0.16000000000000003,0.953307392996109,0,0.21802905630175573
HSR Layout,3,48.6,15,0.4680488123276529,39.292802384727594,1,0.18999999999999995,0.3024193548387097,0,0.22770111303191395
Koramangala,3,29.7,53,0.22830351267690197,32.76657224214468,1,0.505,1.726384364820847,0,0.4535821838039139
Indiranagar,4,40.5,27,0.34120344163477734,37.394089891837986,1,0.32499999999999996,0.6506024096385542,0,0.40038396682744115
Whitefield,4,20.7,44,0.297532018084113,30.110434481945433,1,0.655,2.0276497695852536,0,0.4719726733083839
Electronic City,4,30.6,43,0.3601587158441357,16.924497745719826,1,0.49,1.360759493670886,0,0.3655036874967416
HSR Layout,4,18.900000000000002,20,0.5195741993380372,20.46101093042084,1,0.6849999999999999,1.0050251256281406,0,0.47082908149072566
Koramangala,4,35.1,44,0.8182961812432077,23.10862552513185,1,0.4149999999999999,1.2188365650969528,0,0.43559769084282074
Indiranagar,5,46.800000000000004,15,0.35955461377935916,25.677694715656408,1,0.21999999999999997,0.3138075313807531,0,0.15398164765851813
Whitefield,5,28.8,17,0.2048664913718335,27.768682564439143,1,0.52,0.5704697986577181,0,0.25174391105998917
Electronic City,5,18.089564243421332,29,0.3178037295210514,20.469105489326758,1,0.6985072626096445,1.5191546349725618,0,0.4834529675213291
HSR Layout,5,27.900000000000002,53,0.5480739541246697,22.521957745419243,1,0.5349999999999999,1.833910034602076,0,0.5062021375388249
Koramangala,5,37.800000000000004,51,0.4415498736186781,30.858783617534094,1,0.3699999999999999,1.3144329896907214,0,0.4875081628222267
Indiranagar,6,18.900000000000002,40,0.8899553178774204,21.05138178778751,1,0.6849999999999999,2.0100502512562812,0,0.7108863919059253
Whitefield,6,32.4,52,0.45744819290347727,30.807645764839485,1,0.4600000000000001,1.5568862275449102,0,0.4658268091771101
Electronic City,6,22.5,36,0.575042278852331,17.257244251360206,1,0.625,1.5319148936170213,0,0.499246406128385
HSR Layout,6,22.5,30,0.22854259908833474,29.772323579706047,1,0.625,1.2765957446808511,0,0.47949962895816883
Koramangala,6,49.5,33,0.6978046727066125,35.23752615349289,1,0.17500000000000004,0.6534653465346535,0,0.23675148044293634
